ingredient_id,name,normalized_name,source,source_url
ingredient:choline_alfoscerate_glycerophosphorylcholine,Choline Alfoscerate (Glycerophosphorylcholine),choline_alfoscerate_glycerophosphorylcholine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/choline-alfoscerate
ingredient:chondroitin,Chondroitin,chondroitin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/chondroitin
ingredient:human_chorionic_gonadotropin_hcg,Human Chorionic Gonadotropin (HCG),human_chorionic_gonadotropin_hcg,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/choriogonadotropin
ingredient:ciclopirox_ciclopiroxolamin,Ciclopirox (Ciclopiroxolamin),ciclopirox_ciclopiroxolamin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/ciclopirox
ingredient:ciclosporin_cyclosporin_cyclosporin_a,"Ciclosporin (Cyclosporin, Cyclosporin A)",ciclosporin_cyclosporin_cyclosporin_a,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/ciclosporin
ingredient:cilnidipin,Cilnidipin,cilnidipin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cilnidipin
ingredient:cilostazol,Cilostazol,cilostazol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cilostazol
ingredient:cimetidin,Cimetidin,cimetidin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cimetidine
ingredient:cinnarizin,Cinnarizin,cinnarizin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cinnarizine
ingredient:ciprofibrate,Ciprofibrate,ciprofibrate,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/ciprofibrate
ingredient:ciprofloxacin,Ciprofloxacin,ciprofloxacin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/ciprofloxacin
ingredient:cisplatin,Cisplatin,cisplatin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cisplatin
ingredient:citalopram,Citalopram,citalopram,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/citalopram
ingredient:citicoline,Citicoline,citicoline,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/citicoline
ingredient:citrulline,Citrulline,citrulline,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/citrulline
ingredient:clarithromycin,Clarithromycin,clarithromycin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clarithromycin
ingredient:clindamycin,Clindamycin,clindamycin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clindamycin
ingredient:clioquinol_iodochlorhydroxyquin,Clioquinol (Iodochlorhydroxyquin),clioquinol_iodochlorhydroxyquin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clioquinol-flumethasone
ingredient:clobetasol_propionat,Clobetasol Propionat,clobetasol_propionat,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clobetasol-propionat
ingredient:clomifen_clomifene_clomiphene,"Clomifen (Clomifene, Clomiphene)",clomifen_clomifene_clomiphene,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clomifen
ingredient:clomipramin_hydrochlorid,Clomipramin Hydrochlorid,clomipramin_hydrochlorid,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clomipramin-hydrochlorid
ingredient:clonidin,Clonidin,clonidin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clonidin
ingredient:clopidogrel,Clopidogrel,clopidogrel,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clopidogrel
ingredient:clorpromazin_hydrochlorid,Clorpromazin Hydrochlorid,clorpromazin_hydrochlorid,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clorpromazin-hydrochlorid
ingredient:clotrimazol,Clotrimazol,clotrimazol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clotrimazol
ingredient:cloxacilin,Cloxacilin,cloxacilin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cloxacilin
ingredient:clozapin,Clozapin,clozapin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clozapin
ingredient:codeine,Codeine,codeine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/codeine
ingredient:coenzym_q10_ubidecarenone,Coenzym Q10 (Ubidecarenone),coenzym_q10_ubidecarenone,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/coenzym-q10
ingredient:colchicin,Colchicin,colchicin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/colchicin
ingredient:collagen,Collagen,collagen,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/collagen
ingredient:cordycepin,Cordycepin,cordycepin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cordycepin
ingredient:crotamiton,Crotamiton,crotamiton,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/crotamiton
ingredient:curcumin,Curcumin,curcumin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/curcumin
ingredient:cyclophosphamid,Cyclophosphamid,cyclophosphamid,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cyclophosphamide
ingredient:cycloserin,Cycloserin,cycloserin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cycloserine
ingredient:cyproheptadine,Cyproheptadine,cyproheptadine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cyproheptadine
ingredient:cytarabin,Cytarabin,cytarabin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cytarabine
ingredient:dabigatran_etexilate,Dabigatran Etexilate,dabigatran_etexilate,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/dabigatran-etexilate
ingredient:danazol,Danazol,danazol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/danazol
ingredient:dapagliflozin,Dapagliflozin,dapagliflozin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/dapagliflozin
ingredient:deferasirox,Deferasirox,deferasirox,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/deferasirox
ingredient:deferipron,Deferipron,deferipron,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/deferiprone
ingredient:desferrioxamin_mesilat,Desferrioxamin mesilat,desferrioxamin_mesilat,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/deferoxamine
ingredient:deflazacort,Deflazacort,deflazacort,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/deflazacort
ingredient:dequalinium_dequalinium_chloride,Dequalinium (Dequalinium chloride),dequalinium_dequalinium_chloride,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/dequalinium
ingredient:desloratadine,Desloratadine,desloratadine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/desloratadine
ingredient:desmopressin_ddavp,Desmopressin (DDAVP),desmopressin_ddavp,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/desmopressin
ingredient:desogestrel,Desogestrel,desogestrel,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/desogestrel
ingredient:desonide,Desonide,desonide,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/desonide
