drug_id,name,normalized_name,source
drug:paliperidone,Paliperidone,paliperidone,ddinter
drug:pancrelipase,Pancrelipase,pancrelipase,ddinter
drug:pasireotide,Pasireotide,pasireotide,ddinter
drug:pegaspargase,Pegaspargase,pegaspargase,ddinter
drug:peginterferon_beta_1a,Peginterferon beta-1a,peginterferon_beta_1a,ddinter
drug:pegvisomant,Pegvisomant,pegvisomant,ddinter
drug:pentamidine,Pentamidine,pentamidine,ddinter
drug:perphenazine,Perphenazine,perphenazine,ddinter
drug:pexidartinib,Pexidartinib,pexidartinib,ddinter
drug:phendimetrazine,Phendimetrazine,phendimetrazine,ddinter
drug:phenylephrine,Phenylephrine,phenylephrine,ddinter
drug:phenylpropanolamine,Phenylpropanolamine,phenylpropanolamine,ddinter
drug:phenytoin,Phenytoin,phenytoin,ddinter
drug:polythiazide,Polythiazide,polythiazide,ddinter
drug:pramlintide,Pramlintide,pramlintide,ddinter
drug:prednicarbate_topical,Prednicarbate (topical),prednicarbate_topical,ddinter
drug:prochlorperazine,Prochlorperazine,prochlorperazine,ddinter
drug:progesterone,Progesterone,progesterone,ddinter
drug:progesterone_topical,Progesterone (topical),progesterone_topical,ddinter
drug:promazine,Promazine,promazine,ddinter
drug:promethazine,Promethazine,promethazine,ddinter
drug:propiomazine,Propiomazine,propiomazine,ddinter
drug:pseudoephedrine,Pseudoephedrine,pseudoephedrine,ddinter
drug:plantago_seed,Plantago seed,plantago_seed,ddinter
drug:quetiapine,Quetiapine,quetiapine,ddinter
drug:quinestrol,Quinestrol,quinestrol,ddinter
drug:remdesivir,Remdesivir,remdesivir,ddinter
drug:risperidone,Risperidone,risperidone,ddinter
drug:ritodrine,Ritodrine,ritodrine,ddinter
drug:ritonavir,Ritonavir,ritonavir,ddinter
drug:salmeterol,Salmeterol,salmeterol,ddinter
drug:saquinavir,Saquinavir,saquinavir,ddinter
drug:sermorelin,Sermorelin,sermorelin,ddinter
drug:sirolimus,Sirolimus,sirolimus,ddinter
drug:somapacitan,Somapacitan,somapacitan,ddinter
drug:somatrem,Somatrem,somatrem,ddinter
drug:somatotropin,Somatotropin,somatotropin,ddinter
drug:sparfloxacin,Sparfloxacin,sparfloxacin,ddinter
drug:tacrolimus,Tacrolimus,tacrolimus,ddinter
